ExScore,Attd,HrsStd,PrevSco,ParInv,Acc2Rs,TutSes,FamInc,ParEdLev,MotLev,PerInf
67,92,12,92,2,2,2,2,1,3,2
65,65,17,66,2,3,1,3,3,2,2
65,79,18,79,2,2,0,1,2,2,2
69,98,15,58,3,2,0,1,2,3,3
63,67,19,82,2,2,1,1,1,3,1
72,99,22,92,2,1,3,2,3,1,1
76,100,31,59,2,2,2,3,3,2,3
69,82,21,66,2,3,3,1,2,3,3
67,67,22,72,2,2,3,1,3,3,3
69,73,20,92,3,2,2,2,2,2,3
63,77,8,87,3,2,0,1,1,2,2
67,72,20,66,2,2,3,1,3,2,3
66,71,20,62,1,3,2,2,2,3,1
79,99,35,85,3,3,2,2,3,1,2
64,66,19,74,2,2,1,3,1,2,2
73,89,22,80,3,3,1,3,1,2,3
63,60,20,82,1,3,2,1,1,3,3
65,84,13,78,2,2,1,1,1,2,3
73,97,27,81,1,3,0,3,1,2,3
70,72,25,94,3,3,2,1,2,1,3
68,67,25,93,3,2,2,1,1,3,3
65,86,15,57,2,2,1,2,2,2,1
71,89,28,79,1,3,0,1,2,3,3
64,88,12,72,1,2,2,2,2,1,3
68,73,24,64,2,3,4,3,2,2,2
69,70,33,82,2,2,1,1,2,1,2
69,98,14,76,2,2,0,2,2,2,3
67,78,21,55,2,2,1,3,2,2,3
68,94,17,65,1,2,4,2,1,1,2
64,78,11,51,2,3,2,1,3,2,2
66,77,20,87,2,2,0,1,1,1,3
63,66,14,96,3,1,3,1,1,2,1
66,77,23,79,2,2,0,1,1,2,2
66,81,14,81,2,2,1,1,3,2,1
67,61,29,52,2,3,3,1,2,1,3
65,78,15,75,3,3,1,1,1,1,1
68,91,18,76,1,2,1,2,1,2,2
68,87,25,52,2,1,1,1,1,3,3
65,85,13,89,3,2,0,3,1,2,2
71,96,21,64,2,2,2,2,2,3,2
65,61,28,86,2,3,1,1,3,3,1
64,82,10,70,2,1,3,1,3,2,3
72,91,21,100,3,2,0,3,3,2,2
65,82,22,61,2,2,2,1,1,2,1
66,73,25,53,2,3,0,1,3,3,1
61,65,13,99,1,3,0,1,1,2,1
68,96,12,62,1,3,2,2,2,2,1
69,79,23,82,3,3,3,2,3,1,1
72,95,22,69,2,3,1,1,2,2,3
71,83,22,82,2,3,2,1,3,2,3
70,87,22,80,3,3,2,1,1,1,1
68,92,16,85,2,3,1,1,1,1,2
67,86,21,51,1,2,2,1,1,2,3
68,76,22,92,2,2,1,1,1,2,2
68,81,16,74,2,2,3,2,3,2,3
72,92,31,76,2,2,2,2,1,2,3
65,75,23,71,1,3,0,2,2,1,2
66,76,13,99,2,3,2,2,1,1,3
65,64,24,90,2,2,0,1,1,3,1
67,97,14,66,2,2,2,2,2,2,1
66,64,25,89,2,3,2,2,2,1,2
69,86,27,72,2,2,1,2,1,1,3
66,77,15,94,2,2,0,3,2,1,3
69,76,26,52,2,3,4,3,1,2,2
67,87,22,68,3,1,0,1,1,2,2
66,63,25,71,3,2,1,2,1,2,3
71,84,31,87,2,2,2,1,2,2,2
70,91,19,59,3,1,5,2,2,2,2
71,93,15,64,3,2,2,2,3,2,3
66,67,15,86,2,2,1,3,3,3,3
67,96,15,54,2,2,3,2,1,3,1
66,86,20,60,3,1,1,2,2,2,2
72,95,22,88,2,3,0,1,3,1,3
68,79,22,94,2,2,1,2,1,2,3
69,82,25,86,2,2,3,1,1,2,3
71,97,20,76,2,2,2,1,3,1,3
70,96,29,55,2,2,0,2,3,1,2
67,78,18,91,2,2,2,3,2,3,2
69,71,36,56,2,2,2,3,1,2,3
65,76,24,69,1,3,2,2,1,1,2
65,76,15,53,3,3,1,1,2,2,2
64,71,14,85,2,2,2,2,1,1,2
63,71,23,75,1,1,1,1,2,1,1
69,94,19,95,1,2,3,1,1,2,3
64,63,24,57,2,1,1,1,2,2,2
72,87,23,91,3,3,0,3,1,3,3
63,67,20,76,1,2,0,2,1,2,2
64,74,15,68,1,3,3,1,1,1,3
64,62,11,82,2,3,3,3,2,2,2
67,71,17,90,2,2,5,2,3,2,3
71,91,25,72,2,2,2,2,3,1,3
70,95,21,62,2,2,1,2,1,3,3
61,69,13,96,2,1,0,3,1,1,2
67,79,21,66,2,3,2,1,2,1,1
72,79,22,100,3,2,4,3,2,2,1
66,95,15,88,1,1,1,1,1,1,1
70,91,21,84,2,3,1,3,1,2,2
67,81,20,51,3,2,3,2,1,3,2
67,87,13,72,3,1,2,2,1,2,2
71,94,22,75,1,2,2,3,2,3,2
66,60,23,69,3,2,1,1,2,2,3
68,76,26,57,2,2,1,2,1,2,3
74,96,26,68,2,2,3,3,2,2,3
64,90,12,54,2,1,1,3,1,2,2
65,82,14,65,2,2,1,1,2,2,3
66,81,23,54,1,2,1,1,2,2,2
66,74,23,88,2,3,0,2,1,1,1
68,81,23,84,2,1,2,2,1,2,3
78,86,43,97,3,2,2,2,1,2,3
67,77,23,69,2,3,1,2,1,1,3
74,89,27,89,2,3,3,2,1,2,3
74,94,26,79,2,3,1,1,3,3,3
62,66,24,82,2,1,1,2,1,1,2
66,78,18,77,3,2,2,2,1,2,2
69,76,25,89,2,2,3,2,1,3,2
68,87,15,52,2,3,2,1,2,2,3
89,70,19,54,2,1,0,2,1,3,3
66,86,17,55,3,1,2,3,2,1,2
68,95,20,64,1,2,2,2,1,1,2
69,77,34,80,2,1,0,2,1,1,3
67,96,9,82,2,2,0,1,2,3,3
75,100,24,86,3,3,2,2,1,1,3
60,64,10,64,2,3,0,2,1,3,3
66,69,17,83,3,2,2,2,2,2,3
73,98,27,56,1,3,1,3,2,1,3
68,98,20,50,2,1,1,2,1,1,2
62,64,14,85,2,2,0,2,1,2,2
62,61,16,86,2,2,2,1,1,1,3
65,66,24,81,3,1,1,2,1,3,2
69,100,16,63,3,1,2,1,1,3,1
64,67,21,96,2,2,3,1,1,1,2
67,80,20,94,2,3,0,1,3,2,3
70,94,16,76,3,3,0,1,1,2,2
70,61,33,99,2,2,2,2,2,3,2
69,84,24,65,3,1,3,2,1,1,3
61,71,8,75,3,1,0,2,1,2,3
69,94,21,96,2,2,0,2,3,1,2
63,71,16,73,3,2,1,2,1,2,2
67,87,25,74,2,1,0,2,1,1,2
66,69,19,61,2,2,3,3,1,3,2
63,61,23,58,1,2,4,2,1,2,2
68,76,25,78,2,3,2,2,1,2,1
65,72,13,66,3,3,0,1,3,2,2
67,92,18,54,1,2,1,2,1,2,3
68,92,17,75,1,1,2,2,3,2,2
64,78,16,83,2,3,0,1,2,2,2
71,84,31,87,2,2,0,2,2,3,3
69,84,22,92,2,2,0,2,1,1,2
67,93,12,74,2,2,1,2,3,1,2
65,77,26,70,1,2,2,3,2,1,2
68,71,33,84,1,2,1,2,1,2,3
67,71,26,51,3,2,1,3,3,1,3
67,81,11,82,2,2,3,2,1,3,2
66,78,17,70,2,3,2,1,1,2,3
70,78,28,73,3,2,2,2,2,3,2
65,64,16,65,3,1,3,2,3,2,3
69,89,23,56,1,1,4,2,3,1,3
65,69,25,70,2,2,1,3,1,1,3
63,68,14,65,3,2,1,3,2,2,2
67,77,20,98,2,2,2,1,3,1,2
61,69,1,97,3,2,1,1,1,2,3
65,83,14,82,2,1,0,2,1,2,3
66,75,18,95,1,3,1,1,2,2,2
66,78,13,88,2,3,0,3,2,3,2
69,81,30,67,2,1,1,3,1,2,1
63,68,11,80,2,2,2,2,2,2,3
65,66,17,61,1,3,1,3,3,2,3
67,95,21,84,1,1,0,3,1,1,2
69,77,29,52,3,3,2,3,1,2,1
65,76,11,92,1,2,4,2,3,2,1
65,61,27,79,2,2,1,1,1,2,3
65,80,20,53,3,1,0,1,2,2,2
67,82,14,94,2,3,2,1,2,1,1
72,88,21,93,2,3,4,1,1,2,3
66,67,16,89,2,3,3,1,2,3,3
65,70,20,84,2,2,2,2,2,1,2
69,92,18,70,3,2,1,1,1,2,2
68,98,21,57,2,1,2,3,1,2,2
64,65,24,64,2,1,1,3,3,1,2
69,80,30,67,1,3,3,2,2,2,1
59,69,13,68,2,1,0,3,1,1,3
68,62,33,78,3,2,0,2,1,2,3
60,73,8,60,2,2,0,3,1,2,2
62,66,19,59,2,3,1,3,1,2,1
67,88,24,86,1,2,0,1,2,1,1
68,81,22,50,1,3,4,2,1,3,3
64,66,16,57,2,3,3,2,1,3,3
65,60,19,72,2,3,3,1,1,3,3
65,92,17,57,1,1,2,2,1,2,3
63,67,16,98,3,2,0,1,1,2,2
70,84,25,84,2,1,2,2,1,1,3
66,73,22,72,1,2,3,2,1,1,3
68,83,16,56,2,3,4,3,1,1,3
66,73,25,69,1,1,3,2,1,2,3
63,63,22,83,1,1,3,2,2,2,1
66,69,25,98,3,2,1,1,2,2,1
65,68,24,74,2,2,1,2,1,2,2
66,77,15,85,2,2,1,1,3,3,3
67,86,17,60,3,1,2,3,2,3,3
66,71,24,81,2,2,0,1,1,2,3
63,60,24,62,1,2,4,1,1,3,1
66,81,20,60,2,2,3,2,1,1,3
67,84,21,75,2,2,1,3,2,1,3
71,99,28,61,2,2,1,1,1,2,3
67,84,16,86,2,3,1,1,1,2,2
69,79,23,97,2,3,1,3,1,2,2
67,83,19,70,2,2,2,1,3,2,1
72,97,19,66,3,2,2,2,2,3,3
70,93,27,59,3,1,2,1,1,3,1
67,73,25,70,2,3,0,1,3,1,2
64,69,25,78,1,3,0,1,1,2,1
67,71,28,69,2,2,1,2,2,3,2
69,80,20,81,1,3,3,2,3,2,1
63,80,18,55,2,2,2,1,1,1,2
68,63,22,85,2,3,4,3,2,2,1
70,89,19,95,3,2,0,2,1,2,3
66,92,21,51,2,1,0,2,2,1,2
68,72,24,78,3,3,0,1,1,3,1
67,87,15,80,3,1,0,1,2,3,3
69,77,33,85,1,3,0,1,1,2,2
66,96,14,69,2,1,0,2,2,3,1
68,94,13,91,2,2,3,1,1,1,2
69,81,27,77,2,2,2,2,3,2,2
70,88,25,70,2,2,1,2,3,1,3
74,95,24,86,2,3,1,2,2,3,2
70,80,24,96,2,3,0,1,2,3,3
66,73,20,91,2,2,1,2,3,1,2
69,90,15,97,3,2,1,1,2,2,1
64,69,20,63,2,3,0,1,3,1,1
62,76,16,56,1,3,1,1,1,2,3
70,95,26,77,1,3,0,2,1,2,2
68,89,19,52,3,2,2,2,1,2,1
65,76,15,84,2,2,0,2,2,1,2
65,69,18,62,3,3,3,2,1,1,3
71,74,22,73,3,3,3,3,3,1,3
66,71,17,83,3,2,2,2,1,1,2
61,67,15,74,2,2,0,1,2,2,1
67,90,21,62,1,2,2,2,1,1,1
65,70,21,94,1,3,0,1,2,2,2
65,78,17,88,2,3,0,1,1,2,1
65,75,17,80,2,3,1,1,1,2,3
73,99,21,85,2,2,4,2,1,3,3
62,76,11,71,2,2,1,2,2,2,2
60,63,12,69,2,3,0,2,2,1,1
61,64,16,58,1,2,1,2,2,1,3
67,84,19,90,1,2,2,1,3,3,2
70,84,22,69,3,2,3,2,2,2,2
69,77,29,85,1,3,1,2,2,2,3
66,77,25,65,2,1,0,2,2,3,3
64,62,19,90,2,2,2,1,2,1,3
68,81,20,55,3,2,1,3,3,2,3
67,80,14,81,3,2,1,1,3,2,3
64,66,20,90,2,2,0,2,2,3,2
65,64,18,83,2,2,2,1,2,3,3
66,65,22,85,1,3,2,3,3,2,3
68,84,23,78,3,2,2,1,1,1,1
66,68,29,53,2,3,1,2,1,2,1
63,70,19,63,2,2,3,1,1,1,2
63,67,22,86,1,2,1,1,1,1,3
74,98,24,97,3,2,1,2,2,2,3
70,94,18,77,2,3,1,2,2,1,3
68,69,21,86,3,3,2,1,1,2,2
66,73,20,84,2,2,0,2,3,2,2
63,68,21,100,2,1,0,2,1,1,3
67,80,15,90,1,3,4,1,2,2,3
62,61,20,81,2,2,1,2,1,2,2
71,87,23,56,3,3,1,2,3,2,3
72,81,29,68,3,2,2,2,3,2,2
72,96,26,63,2,2,1,3,3,2,3
68,67,33,93,2,2,0,1,1,3,2
66,92,15,72,2,1,1,2,1,1,1
70,92,25,77,2,2,0,1,1,2,3
66,65,21,98,2,1,2,1,3,3,3
72,76,33,92,2,2,1,3,3,1,3
64,67,15,89,3,2,0,3,1,1,2
61,71,16,51,2,2,0,1,3,2,1
62,82,7,56,3,3,0,1,1,2,1
68,76,17,87,2,3,1,2,1,3,3
68,98,15,71,1,2,1,2,1,1,3
63,65,21,56,1,2,1,2,1,3,3
70,99,22,87,2,1,1,2,1,1,2
68,69,31,60,3,1,1,1,3,2,2
72,91,26,79,3,2,1,1,1,2,2
67,74,17,87,2,2,4,1,2,2,3
61,66,15,80,1,3,1,1,2,2,2
69,94,23,100,1,2,0,1,3,2,2
61,72,12,72,2,1,2,1,1,3,1
75,86,31,66,3,3,3,2,2,2,3
68,83,27,60,3,1,0,3,2,2,2
65,79,17,75,2,1,1,2,1,1,2
75,89,28,97,2,3,3,2,1,3,1
64,64,19,99,1,2,1,2,2,2,3
70,87,27,77,2,2,1,1,1,2,2
67,96,10,80,3,3,0,2,1,2,2
63,62,16,79,2,2,2,2,1,1,2
67,89,20,58,2,2,1,2,1,2,3
86,77,17,53,1,3,2,3,2,2,2
67,76,24,72,1,3,3,2,1,3,2
63,65,14,59,3,2,1,3,3,1,3
66,80,19,94,2,2,0,2,2,2,2
67,79,23,81,2,2,1,2,1,2,2
69,91,24,52,2,2,0,3,2,1,2
66,70,13,81,3,3,2,2,3,2,3
64,79,11,81,2,2,1,3,1,2,2
73,100,28,72,3,1,1,1,3,2,1
66,87,22,83,1,2,1,1,2,1,2
68,94,16,93,2,2,1,1,3,1,1
70,77,29,88,3,1,0,2,2,1,3
67,62,27,63,2,3,4,3,1,1,1
62,65,20,74,2,1,0,2,2,1,3
68,68,32,97,2,1,1,1,1,3,3
72,76,31,91,2,3,1,1,3,2,2
69,94,19,51,1,2,3,2,3,2,3
66,74,26,89,1,1,3,3,1,1,1
70,86,24,59,3,3,1,1,1,2,3
71,88,28,79,3,2,0,2,1,2,3
65,83,14,90,2,2,0,1,2,2,1
70,74,24,78,3,2,3,1,2,2,3
65,83,26,70,1,1,2,2,1,3,1
62,74,9,66,2,3,1,3,1,1,2
62,63,13,65,3,2,2,3,1,2,2
70,100,8,92,3,2,1,2,3,2,2
66,65,18,91,2,3,5,1,2,2,2
67,63,24,91,3,1,4,1,1,1,3
72,95,29,64,2,1,1,2,1,2,3
66,72,20,90,3,1,0,1,3,1,1
68,86,30,52,2,1,2,2,2,2,1
62,73,12,60,3,2,1,1,1,2,1
64,76,10,76,1,2,2,3,3,2,3
65,70,20,70,2,2,0,1,3,2,2
66,74,22,56,2,1,4,2,3,1,1
64,76,20,52,2,1,2,1,1,2,2
67,89,8,81,2,3,4,1,2,1,2
69,80,19,66,3,2,4,2,2,1,1
68,98,12,51,3,2,0,2,3,2,3
64,62,24,72,2,2,2,1,1,3,2
68,80,22,65,3,2,2,3,1,2,2
64,83,14,79,1,1,1,2,1,2,3
71,97,17,96,2,3,0,3,3,3,1
61,62,14,65,3,3,3,1,1,1,1
68,83,20,100,1,2,4,1,2,2,1
64,70,14,54,3,2,3,2,2,2,3
72,95,23,86,2,2,3,1,3,2,3
65,61,17,87,2,2,5,2,1,3,2
68,89,15,71,2,2,1,2,1,2,3
71,97,19,64,3,1,2,1,1,2,3
66,78,17,98,2,2,2,2,1,1,3
63,62,13,99,1,3,4,2,3,2,3
74,97,32,82,2,3,1,2,1,2,2
66,79,20,87,3,1,2,2,1,1,2
63,61,16,91,2,1,2,2,2,3,2
72,88,21,90,3,2,2,3,1,3,2
69,79,19,100,2,3,1,3,2,1,3
67,65,19,91,2,3,1,2,2,2,3
66,69,24,83,1,3,3,1,1,1,2
64,63,25,69,3,2,0,1,1,2,1
67,83,17,80,1,2,4,2,2,2,1
69,85,17,94,2,1,4,1,2,3,3
64,93,6,52,2,2,0,2,2,3,2
65,94,11,66,2,1,1,3,1,3,2
72,85,28,98,2,3,2,1,1,2,3
66,61,30,90,1,3,2,1,1,2,1
66,88,19,59,2,1,2,1,2,2,2
67,77,23,51,3,3,1,1,2,2,3
69,83,22,83,2,2,1,3,3,3,1
73,86,38,79,1,3,3,1,1,1,1
69,74,27,54,2,3,3,2,2,2,2
68,97,19,98,2,1,1,1,1,2,2
61,65,14,81,1,2,1,1,1,2,3
63,87,10,83,2,1,0,1,1,2,3
63,60,21,93,2,3,0,1,1,1,3
68,97,15,67,1,2,1,1,2,2,2
63,65,11,78,2,3,2,1,3,2,2
66,64,16,79,3,2,3,2,3,2,3
65,73,14,98,3,2,2,1,1,2,1
68,75,30,57,3,3,0,1,2,3,2
66,69,25,88,2,2,0,1,2,3,1
66,83,20,79,1,1,2,2,3,1,3
70,78,29,92,3,2,2,1,1,2,1
61,61,20,92,1,1,0,2,1,2,1
61,73,15,51,2,1,2,1,1,2,1
71,92,29,63,2,2,1,1,1,3,1
67,88,23,59,1,2,1,2,1,2,1
70,89,14,73,3,3,2,2,2,2,1
69,88,19,95,3,2,2,1,2,2,1
65,72,15,50,3,3,2,2,1,2,2
61,64,12,74,3,1,0,2,1,3,3
68,71,26,94,2,1,3,1,3,1,3
74,93,31,96,3,1,2,1,1,2,3
67,99,12,83,2,2,1,2,1,1,1
70,80,23,91,2,2,5,3,1,1,1
59,60,16,66,1,2,1,3,1,1,2
64,66,17,64,3,3,0,2,2,1,2
66,73,16,52,3,2,2,2,2,2,3
63,83,15,75,1,1,1,2,1,2,2
61,63,20,73,1,1,0,3,2,1,2
68,98,15,69,1,3,2,1,1,1,2
65,75,22,56,2,2,3,2,1,1,3
69,97,20,62,2,3,1,2,1,2,2
68,91,19,60,3,1,2,1,1,2,2
69,90,15,97,2,1,2,3,1,1,3
67,84,17,98,2,1,1,1,2,3,2
70,85,25,50,3,3,1,3,2,3,2
68,86,23,59,2,2,1,1,3,1,2
67,85,14,94,2,2,0,3,2,1,3
67,82,21,52,3,2,4,1,1,2,2
75,99,25,97,3,2,0,2,2,3,3
63,89,10,69,1,1,3,1,2,1,1
70,91,23,77,1,2,1,1,1,3,3
70,95,16,88,2,1,2,3,1,1,3
64,69,23,62,2,3,1,2,1,2,2
59,63,15,55,2,1,0,2,2,1,2
63,79,9,90,2,1,1,3,1,3,2
67,81,10,99,3,2,2,2,3,2,3
68,93,20,83,1,3,0,2,1,2,1
68,78,22,91,2,2,0,2,3,1,1
97,83,15,97,2,2,2,1,1,2,2
66,81,24,61,2,1,1,1,2,2,3
61,62,10,68,2,1,3,2,3,3,2
70,85,20,61,3,2,2,3,2,3,3
65,93,13,53,1,1,1,2,3,3,3
64,66,16,87,1,2,3,2,1,3,3
69,84,20,57,2,3,2,2,1,3,3
64,84,15,55,2,3,1,2,1,1,1
61,67,18,68,1,1,2,1,3,1,1
64,65,26,53,1,2,3,3,1,1,3
68,99,17,59,2,3,0,2,1,2,2
67,76,25,53,2,3,1,3,1,3,3
62,69,13,94,3,1,3,1,1,2,3
66,67,23,89,2,2,2,1,1,2,2
72,87,29,93,2,3,1,1,1,3,2
68,84,5,93,2,2,4,3,2,3,3
71,86,15,97,2,3,4,3,1,2,3
65,64,23,59,2,2,3,2,1,3,3
68,96,19,95,2,1,2,2,1,1,2
65,76,22,76,2,1,2,1,1,2,2
64,73,16,58,3,1,1,2,1,2,2
65,78,21,83,2,1,2,2,1,2,3
65,76,19,66,3,3,0,1,1,1,1
73,95,27,52,3,2,3,2,2,3,1
72,97,22,54,2,3,1,1,3,2,3
64,72,22,71,1,2,1,2,2,2,1
69,95,18,91,2,2,0,1,3,1,3
69,91,17,66,2,2,1,3,1,3,3
70,97,17,88,2,3,0,2,1,2,3
83,70,22,53,1,2,1,1,1,1,3
68,83,17,70,3,2,3,1,3,1,2
84,71,22,56,1,3,1,1,2,3,2
75,93,32,93,2,2,1,2,3,3,1
67,60,25,98,1,3,1,2,3,2,2
69,83,18,66,2,3,0,3,3,2,3
71,74,27,99,3,2,3,2,1,3,3
66,73,18,88,2,1,1,2,2,2,3
65,86,8,50,2,3,1,2,2,3,3
70,94,14,74,3,2,1,3,2,2,3
66,84,9,92,3,1,1,1,3,3,1
74,94,18,77,3,2,3,2,3,2,3
68,81,30,72,2,3,0,1,1,1,2
68,78,22,70,2,3,2,1,2,2,3
62,60,19,51,2,3,0,2,2,2,3
71,82,25,81,2,3,2,2,3,2,2
63,86,7,88,2,1,2,1,2,2,1
69,84,21,90,3,3,2,2,1,2,2
71,89,25,81,2,2,3,2,2,3,1
66,83,11,67,3,1,1,2,3,2,3
64,63,27,51,2,3,0,1,3,1,3
65,65,22,95,2,2,3,1,1,1,3
69,84,18,71,2,3,4,2,1,2,3
66,71,24,80,2,1,2,2,1,2,3
67,63,34,60,2,3,1,2,1,1,1
65,77,21,57,2,1,4,1,1,2,1
65,82,21,54,1,1,3,1,2,3,1
67,73,17,90,3,2,1,1,1,3,3
66,89,15,82,1,2,1,2,2,1,2
69,86,25,81,2,2,1,3,1,1,3
70,90,20,58,2,2,1,3,1,3,2
68,86,17,59,3,2,3,1,3,1,3
68,60,26,94,2,2,3,3,1,3,3
70,88,17,94,2,2,5,2,2,2,2
67,75,18,80,3,2,2,1,1,2,2
72,98,14,83,3,3,3,1,2,2,3
69,93,17,95,3,1,1,1,1,2,2
69,84,22,81,3,2,1,2,1,2,3
64,70,25,61,1,2,3,1,2,1,3
63,68,14,85,1,2,2,2,1,2,2
70,74,25,88,3,3,3,2,1,2,2
70,79,28,82,3,2,0,2,1,2,3
66,72,22,64,3,2,1,2,2,1,1
70,81,31,70,2,2,1,1,3,1,2
66,67,15,74,2,3,0,3,3,3,3
68,99,13,57,2,2,1,1,2,2,1
61,64,9,73,2,2,1,2,2,2,3
72,97,29,58,2,2,1,3,2,2,1
69,97,24,75,3,1,1,2,1,1,1
72,89,22,97,2,3,2,2,1,2,2
65,77,13,62,2,2,1,3,2,2,2
74,85,35,73,2,3,1,3,1,3,1
62,74,21,52,2,1,1,3,1,1,1
65,72,21,60,3,2,0,1,3,1,2
68,83,24,85,1,3,1,1,1,1,2
71,83,21,81,3,2,3,3,3,1,1
62,71,15,50,2,3,1,2,3,1,2
65,75,23,73,1,3,1,1,1,1,3
68,63,31,86,2,3,0,3,3,1,2
70,62,28,96,2,3,4,2,1,2,3
63,63,17,92,2,2,2,1,1,2,1
63,64,14,90,3,3,0,1,1,1,1
69,93,19,65,2,3,0,2,1,2,2
66,62,20,94,1,2,3,2,3,3,2
70,86,27,82,2,2,2,1,1,1,3
63,71,10,55,2,2,2,1,2,3,3
72,95,29,97,1,2,0,2,2,2,3
65,79,19,59,3,2,1,2,2,1,2
67,72,17,74,2,3,2,3,3,1,3
63,81,14,73,2,2,1,3,1,1,3
65,75,10,81,3,2,3,1,1,2,1
67,83,25,83,2,2,2,1,1,2,2
80,65,20,62,2,1,0,2,3,3,2
68,100,12,68,2,2,2,1,2,2,2
63,77,12,57,2,2,2,1,2,2,1
64,74,18,56,2,2,1,2,2,2,3
73,88,30,91,2,2,3,2,1,2,3
66,75,18,88,2,2,2,2,3,1,1
66,93,11,72,2,2,2,1,2,1,1
66,78,19,55,3,3,0,2,1,2,2
69,89,18,72,2,3,4,2,1,1,2
59,64,4,65,2,3,1,2,1,2,1
68,94,20,89,2,2,0,1,1,2,2
67,89,19,55,2,2,1,1,3,2,2
64,68,24,73,2,2,1,2,1,1,2
65,66,31,80,1,3,0,1,1,1,1
