ExScore,Attd,HrsStd,PrevSco,ParInv,Acc2Rs,TutSes,FamInc,ParEdLev,MotLev,PerInf
66,77,23,79,Medium,Medium,0,Low,High School,Medium,Neutral
66,81,14,81,Medium,Medium,1,Low,Postgraduate,Medium,Negative
67,61,29,52,Medium,High,3,Low,College,Low,Positive
65,78,15,75,High,High,1,Low,High School,Low,Negative
68,91,18,76,Low,Medium,1,Medium,High School,Medium,Neutral
68,87,25,52,Medium,Low,1,Low,High School,High,Positive
65,85,13,89,High,Medium,0,High,High School,Medium,Neutral
71,96,21,64,Medium,Medium,2,Medium,College,High,Neutral
65,61,28,86,Medium,High,1,Low,Postgraduate,High,Negative
64,82,10,70,Medium,Low,3,Low,Postgraduate,Medium,Positive
72,91,21,100,High,Medium,0,High,Postgraduate,Medium,Neutral
65,82,22,61,Medium,Medium,2,Low,High School,Medium,Negative
66,73,25,53,Medium,High,0,Low,Postgraduate,High,Negative
61,65,13,99,Low,High,0,Low,High School,Medium,Negative
68,96,12,62,Low,High,2,Medium,College,Medium,Negative
69,79,23,82,High,High,3,Medium,Postgraduate,Low,Negative
72,95,22,69,Medium,High,1,Low,College,Medium,Positive
71,83,22,82,Medium,High,2,Low,Postgraduate,Medium,Positive
70,87,22,80,High,High,2,Low,High School,Low,Negative
68,92,16,85,Medium,High,1,Low,High School,Low,Neutral
67,86,21,51,Low,Medium,2,Low,High School,Medium,Positive
68,76,22,92,Medium,Medium,1,Low,High School,Medium,Neutral
68,81,16,74,Medium,Medium,3,Medium,Postgraduate,Medium,Positive
72,92,31,76,Medium,Medium,2,Medium,High School,Medium,Positive
65,75,23,71,Low,High,0,Medium,College,Low,Neutral
66,76,13,99,Medium,High,2,Medium,High School,Low,Positive
65,64,24,90,Medium,Medium,0,Low,High School,High,Negative
67,97,14,66,Medium,Medium,2,Medium,College,Medium,Negative
66,64,25,89,Medium,High,2,Medium,College,Low,Neutral
69,86,27,72,Medium,Medium,1,Medium,High School,Low,Positive
66,77,15,94,Medium,Medium,0,High,College,Low,Positive
69,76,26,52,Medium,High,4,High,High School,Medium,Neutral
67,87,22,68,High,Low,0,Low,High School,Medium,Neutral
66,63,25,71,High,Medium,1,Medium,High School,Medium,Positive
71,84,31,87,Medium,Medium,2,Low,College,Medium,Neutral
70,91,19,59,High,Low,5,Medium,College,Medium,Neutral
71,93,15,64,High,Medium,2,Medium,Postgraduate,Medium,Positive
66,67,15,86,Medium,Medium,1,High,Postgraduate,High,Positive
67,96,15,54,Medium,Medium,3,Medium,High School,High,Negative
66,86,20,60,High,Low,1,Medium,College,Medium,Neutral
72,95,22,88,Medium,High,0,Low,Postgraduate,Low,Positive
68,79,22,94,Medium,Medium,1,Medium,High School,Medium,Positive
69,82,25,86,Medium,Medium,3,Low,High School,Medium,Positive
71,97,20,76,Medium,Medium,2,Low,Postgraduate,Low,Positive
70,96,29,55,Medium,Medium,0,Medium,Postgraduate,Low,Neutral
67,78,18,91,Medium,Medium,2,High,College,High,Neutral
69,71,36,56,Medium,Medium,2,High,High School,Medium,Positive
65,76,24,69,Low,High,2,Medium,High School,Low,Neutral
65,76,15,53,High,High,1,Low,College,Medium,Neutral
64,71,14,85,Medium,Medium,2,Medium,High School,Low,Neutral
63,71,23,75,Low,Low,1,Low,College,Low,Negative
69,94,19,95,Low,Medium,3,Low,High School,Medium,Positive
64,63,24,57,Medium,Low,1,Low,College,Medium,Neutral
72,87,23,91,High,High,0,High,High School,High,Positive
63,67,20,76,Low,Medium,0,Medium,High School,Medium,Neutral
64,74,15,68,Low,High,3,Low,High School,Low,Positive
64,62,11,82,Medium,High,3,High,College,Medium,Neutral
67,71,17,90,Medium,Medium,5,Medium,Postgraduate,Medium,Positive
71,91,25,72,Medium,Medium,2,Medium,Postgraduate,Low,Positive
70,95,21,62,Medium,Medium,1,Medium,High School,High,Positive
61,69,13,96,Medium,Low,0,High,High School,Low,Neutral
67,79,21,66,Medium,High,2,Low,College,Low,Negative
72,79,22,100,High,Medium,4,High,College,Medium,Negative
66,95,15,88,Low,Low,1,Low,High School,Low,Negative
70,91,21,84,Medium,High,1,High,High School,Medium,Neutral
67,81,20,51,High,Medium,3,Medium,High School,High,Neutral
67,87,13,72,High,Low,2,Medium,High School,Medium,Neutral
71,94,22,75,Low,Medium,2,High,College,High,Neutral
66,60,23,69,High,Medium,1,Low,College,Medium,Positive
68,76,26,57,Medium,Medium,1,Medium,High School,Medium,Positive
74,96,26,68,Medium,Medium,3,High,College,Medium,Positive
64,90,12,54,Medium,Low,1,High,High School,Medium,Neutral
65,82,14,65,Medium,Medium,1,Low,College,Medium,Positive
66,81,23,54,Low,Medium,1,Low,College,Medium,Neutral
66,74,23,88,Medium,High,0,Medium,High School,Low,Negative
68,81,23,84,Medium,Low,2,Medium,High School,Medium,Positive
78,86,43,97,High,Medium,2,Medium,High School,Medium,Positive
67,77,23,69,Medium,High,1,Medium,High School,Low,Positive
74,89,27,89,Medium,High,3,Medium,High School,Medium,Positive
74,94,26,79,Medium,High,1,Low,Postgraduate,High,Positive
62,66,24,82,Medium,Low,1,Medium,High School,Low,Neutral
66,78,18,77,High,Medium,2,Medium,High School,Medium,Neutral
69,76,25,89,Medium,Medium,3,Medium,High School,High,Neutral
68,87,15,52,Medium,High,2,Low,College,Medium,Positive
89,70,19,54,Medium,Low,0,Medium,High School,High,Positive
66,86,17,55,High,Low,2,High,College,Low,Neutral
68,95,20,64,Low,Medium,2,Medium,High School,Low,Neutral
69,77,34,80,Medium,Low,0,Medium,High School,Low,Positive
67,96,9,82,Medium,Medium,0,Low,College,High,Positive
75,100,24,86,High,High,2,Medium,High School,Low,Positive
60,64,10,64,Medium,High,0,Medium,High School,High,Positive
66,69,17,83,High,Medium,2,Medium,College,Medium,Positive
73,98,27,56,Low,High,1,High,College,Low,Positive
68,98,20,50,Medium,Low,1,Medium,High School,Low,Neutral
62,64,14,85,Medium,Medium,0,Medium,High School,Medium,Neutral
62,61,16,86,Medium,Medium,2,Low,High School,Low,Positive
65,66,24,81,High,Low,1,Medium,High School,High,Neutral
69,100,16,63,High,Low,2,Low,High School,High,Negative
64,67,21,96,Medium,Medium,3,Low,High School,Low,Neutral
67,80,20,94,Medium,High,0,Low,Postgraduate,Medium,Positive
70,94,16,76,High,High,0,Low,High School,Medium,Neutral
70,61,33,99,Medium,Medium,2,Medium,College,High,Neutral
69,84,24,65,High,Low,3,Medium,High School,Low,Positive
61,71,8,75,High,Low,0,Medium,High School,Medium,Positive
69,94,21,96,Medium,Medium,0,Medium,Postgraduate,Low,Neutral
63,71,16,73,High,Medium,1,Medium,High School,Medium,Neutral
67,87,25,74,Medium,Low,0,Medium,High School,Low,Neutral
66,69,19,61,Medium,Medium,3,High,High School,High,Neutral
63,61,23,58,Low,Medium,4,Medium,High School,Medium,Neutral
68,76,25,78,Medium,High,2,Medium,High School,Medium,Negative
65,72,13,66,High,High,0,Low,Postgraduate,Medium,Neutral
67,92,18,54,Low,Medium,1,Medium,High School,Medium,Positive
68,92,17,75,Low,Low,2,Medium,Postgraduate,Medium,Neutral
64,78,16,83,Medium,High,0,Low,College,Medium,Neutral
71,84,31,87,Medium,Medium,0,Medium,College,High,Positive
69,84,22,92,Medium,Medium,0,Medium,High School,Low,Neutral
67,93,12,74,Medium,Medium,1,Medium,Postgraduate,Low,Neutral
65,77,26,70,Low,Medium,2,High,College,Low,Neutral
68,71,33,84,Low,Medium,1,Medium,High School,Medium,Positive
67,71,26,51,High,Medium,1,High,Postgraduate,Low,Positive
67,81,11,82,Medium,Medium,3,Medium,High School,High,Neutral
66,78,17,70,Medium,High,2,Low,High School,Medium,Positive
70,78,28,73,High,Medium,2,Medium,College,High,Neutral
65,64,16,65,High,Low,3,Medium,Postgraduate,Medium,Positive
69,89,23,56,Low,Low,4,Medium,Postgraduate,Low,Positive
65,69,25,70,Medium,Medium,1,High,High School,Low,Positive
63,68,14,65,High,Medium,1,High,College,Medium,Neutral
67,77,20,98,Medium,Medium,2,Low,Postgraduate,Low,Neutral
61,69,1,97,High,Medium,1,Low,High School,Medium,Positive
65,83,14,82,Medium,Low,0,Medium,High School,Medium,Positive
66,75,18,95,Low,High,1,Low,College,Medium,Neutral
66,78,13,88,Medium,High,0,High,College,High,Neutral
69,81,30,67,Medium,Low,1,High,High School,Medium,Negative
63,68,11,80,Medium,Medium,2,Medium,College,Medium,Positive
65,66,17,61,Low,High,1,High,Postgraduate,Medium,Positive
67,95,21,84,Low,Low,0,High,High School,Low,Neutral
69,77,29,52,High,High,2,High,High School,Medium,Negative
65,76,11,92,Low,Medium,4,Medium,Postgraduate,Medium,Negative
65,61,27,79,Medium,Medium,1,Low,High School,Medium,Positive
65,80,20,53,High,Low,0,Low,College,Medium,Neutral
67,82,14,94,Medium,High,2,Low,College,Low,Negative
72,88,21,93,Medium,High,4,Low,High School,Medium,Positive
66,67,16,89,Medium,High,3,Low,College,High,Positive
65,70,20,84,Medium,Medium,2,Medium,College,Low,Neutral
69,92,18,70,High,Medium,1,Low,High School,Medium,Neutral
68,98,21,57,Medium,Low,2,High,High School,Medium,Neutral
64,65,24,64,Medium,Low,1,High,Postgraduate,Low,Neutral
69,80,30,67,Low,High,3,Medium,College,Medium,Negative
59,69,13,68,Medium,Low,0,High,High School,Low,Positive
68,62,33,78,High,Medium,0,Medium,High School,Medium,Positive
60,73,8,60,Medium,Medium,0,High,High School,Medium,Neutral
62,66,19,59,Medium,High,1,High,High School,Medium,Negative
67,88,24,86,Low,Medium,0,Low,College,Low,Negative
68,81,22,50,Low,High,4,Medium,High School,High,Positive
64,66,16,57,Medium,High,3,Medium,High School,High,Positive
65,60,19,72,Medium,High,3,Low,High School,High,Positive
65,92,17,57,Low,Low,2,Medium,High School,Medium,Positive
63,67,16,98,High,Medium,0,Low,High School,Medium,Neutral
70,84,25,84,Medium,Low,2,Medium,High School,Low,Positive
66,73,22,72,Low,Medium,3,Medium,High School,Low,Positive
68,83,16,56,Medium,High,4,High,High School,Low,Positive
66,73,25,69,Low,Low,3,Medium,High School,Medium,Positive
63,63,22,83,Low,Low,3,Medium,College,Medium,Negative
66,69,25,98,High,Medium,1,Low,College,Medium,Negative
65,68,24,74,Medium,Medium,1,Medium,High School,Medium,Neutral
66,77,15,85,Medium,Medium,1,Low,Postgraduate,High,Positive
67,86,17,60,High,Low,2,High,College,High,Positive
66,71,24,81,Medium,Medium,0,Low,High School,Medium,Positive
63,60,24,62,Low,Medium,4,Low,High School,High,Negative
66,81,20,60,Medium,Medium,3,Medium,High School,Low,Positive
67,84,21,75,Medium,Medium,1,High,College,Low,Positive
71,99,28,61,Medium,Medium,1,Low,High School,Medium,Positive
67,84,16,86,Medium,High,1,Low,High School,Medium,Neutral
69,79,23,97,Medium,High,1,High,High School,Medium,Neutral
67,83,19,70,Medium,Medium,2,Low,Postgraduate,Medium,Negative
72,97,19,66,High,Medium,2,Medium,College,High,Positive
70,93,27,59,High,Low,2,Low,High School,High,Negative
67,73,25,70,Medium,High,0,Low,Postgraduate,Low,Neutral
64,69,25,78,Low,High,0,Low,High School,Medium,Negative
67,71,28,69,Medium,Medium,1,Medium,College,High,Neutral
69,80,20,81,Low,High,3,Medium,Postgraduate,Medium,Negative
63,80,18,55,Medium,Medium,2,Low,High School,Low,Neutral
68,63,22,85,Medium,High,4,High,College,Medium,Negative
70,89,19,95,High,Medium,0,Medium,High School,Medium,Positive
66,92,21,51,Medium,Low,0,Medium,College,Low,Neutral
68,72,24,78,High,High,0,Low,High School,High,Negative
67,87,15,80,High,Low,0,Low,College,High,Positive
69,77,33,85,Low,High,0,Low,High School,Medium,Neutral
66,96,14,69,Medium,Low,0,Medium,College,High,Negative
68,94,13,91,Medium,Medium,3,Low,High School,Low,Neutral
69,81,27,77,Medium,Medium,2,Medium,Postgraduate,Medium,Neutral
70,88,25,70,Medium,Medium,1,Medium,Postgraduate,Low,Positive
74,95,24,86,Medium,High,1,Medium,College,High,Neutral
70,80,24,96,Medium,High,0,Low,College,High,Positive
66,73,20,91,Medium,Medium,1,Medium,Postgraduate,Low,Neutral
69,90,15,97,High,Medium,1,Low,College,Medium,Negative
64,69,20,63,Medium,High,0,Low,Postgraduate,Low,Negative
62,76,16,56,Low,High,1,Low,High School,Medium,Positive
70,95,26,77,Low,High,0,Medium,High School,Medium,Neutral
68,89,19,52,High,Medium,2,Medium,High School,Medium,Negative
65,76,15,84,Medium,Medium,0,Medium,College,Low,Neutral
65,69,18,62,High,High,3,Medium,High School,Low,Positive
71,74,22,73,High,High,3,High,Postgraduate,Low,Positive
66,71,17,83,High,Medium,2,Medium,High School,Low,Neutral
61,67,15,74,Medium,Medium,0,Low,College,Medium,Negative
67,90,21,62,Low,Medium,2,Medium,High School,Low,Negative
65,70,21,94,Low,High,0,Low,College,Medium,Neutral
65,78,17,88,Medium,High,0,Low,High School,Medium,Negative
65,75,17,80,Medium,High,1,Low,High School,Medium,Positive
73,99,21,85,Medium,Medium,4,Medium,High School,High,Positive
62,76,11,71,Medium,Medium,1,Medium,College,Medium,Neutral
60,63,12,69,Medium,High,0,Medium,College,Low,Negative
61,64,16,58,Low,Medium,1,Medium,College,Low,Positive
67,84,19,90,Low,Medium,2,Low,Postgraduate,High,Neutral
70,84,22,69,High,Medium,3,Medium,College,Medium,Neutral
69,77,29,85,Low,High,1,Medium,College,Medium,Positive
66,77,25,65,Medium,Low,0,Medium,College,High,Positive
64,62,19,90,Medium,Medium,2,Low,College,Low,Positive
68,81,20,55,High,Medium,1,High,Postgraduate,Medium,Positive
67,80,14,81,High,Medium,1,Low,Postgraduate,Medium,Positive
64,66,20,90,Medium,Medium,0,Medium,College,High,Neutral
65,64,18,83,Medium,Medium,2,Low,College,High,Positive
66,65,22,85,Low,High,2,High,Postgraduate,Medium,Positive
68,84,23,78,High,Medium,2,Low,High School,Low,Negative
66,68,29,53,Medium,High,1,Medium,High School,Medium,Negative
63,70,19,63,Medium,Medium,3,Low,High School,Low,Neutral
63,67,22,86,Low,Medium,1,Low,High School,Low,Positive
74,98,24,97,High,Medium,1,Medium,College,Medium,Positive
70,94,18,77,Medium,High,1,Medium,College,Low,Positive
68,69,21,86,High,High,2,Low,High School,Medium,Neutral
66,73,20,84,Medium,Medium,0,Medium,Postgraduate,Medium,Neutral
63,68,21,100,Medium,Low,0,Medium,High School,Low,Positive
67,80,15,90,Low,High,4,Low,College,Medium,Positive
62,61,20,81,Medium,Medium,1,Medium,High School,Medium,Neutral
71,87,23,56,High,High,1,Medium,Postgraduate,Medium,Positive
72,81,29,68,High,Medium,2,Medium,Postgraduate,Medium,Neutral
72,96,26,63,Medium,Medium,1,High,Postgraduate,Medium,Positive
68,67,33,93,Medium,Medium,0,Low,High School,High,Neutral
66,92,15,72,Medium,Low,1,Medium,High School,Low,Negative
70,92,25,77,Medium,Medium,0,Low,High School,Medium,Positive
66,65,21,98,Medium,Low,2,Low,Postgraduate,High,Positive
72,76,33,92,Medium,Medium,1,High,Postgraduate,Low,Positive
64,67,15,89,High,Medium,0,High,High School,Low,Neutral
61,71,16,51,Medium,Medium,0,Low,Postgraduate,Medium,Negative
62,82,7,56,High,High,0,Low,High School,Medium,Negative
68,76,17,87,Medium,High,1,Medium,High School,High,Positive
68,98,15,71,Low,Medium,1,Medium,High School,Low,Positive
63,65,21,56,Low,Medium,1,Medium,High School,High,Positive
70,99,22,87,Medium,Low,1,Medium,High School,Low,Neutral
68,69,31,60,High,Low,1,Low,Postgraduate,Medium,Neutral
72,91,26,79,High,Medium,1,Low,High School,Medium,Neutral
67,74,17,87,Medium,Medium,4,Low,College,Medium,Positive
61,66,15,80,Low,High,1,Low,College,Medium,Neutral
69,94,23,100,Low,Medium,0,Low,Postgraduate,Medium,Neutral
61,72,12,72,Medium,Low,2,Low,High School,High,Negative
75,86,31,66,High,High,3,Medium,College,Medium,Positive
68,83,27,60,High,Low,0,High,College,Medium,Neutral
65,79,17,75,Medium,Low,1,Medium,High School,Low,Neutral
75,89,28,97,Medium,High,3,Medium,High School,High,Negative
64,64,19,99,Low,Medium,1,Medium,College,Medium,Positive
70,87,27,77,Medium,Medium,1,Low,High School,Medium,Neutral
67,96,10,80,High,High,0,Medium,High School,Medium,Neutral
63,62,16,79,Medium,Medium,2,Medium,High School,Low,Neutral
67,89,20,58,Medium,Medium,1,Medium,High School,Medium,Positive
86,77,17,53,Low,High,2,High,College,Medium,Neutral
67,76,24,72,Low,High,3,Medium,High School,High,Neutral
63,65,14,59,High,Medium,1,High,Postgraduate,Low,Positive
66,80,19,94,Medium,Medium,0,Medium,College,Medium,Neutral
67,79,23,81,Medium,Medium,1,Medium,High School,Medium,Neutral
69,91,24,52,Medium,Medium,0,High,College,Low,Neutral
66,70,13,81,High,High,2,Medium,Postgraduate,Medium,Positive
64,79,11,81,Medium,Medium,1,High,High School,Medium,Neutral
73,100,28,72,High,Low,1,Low,Postgraduate,Medium,Negative
66,87,22,83,Low,Medium,1,Low,College,Low,Neutral
68,94,16,93,Medium,Medium,1,Low,Postgraduate,Low,Negative
70,77,29,88,High,Low,0,Medium,College,Low,Positive
67,62,27,63,Medium,High,4,High,High School,Low,Negative
62,65,20,74,Medium,Low,0,Medium,College,Low,Positive
68,68,32,97,Medium,Low,1,Low,High School,High,Positive
72,76,31,91,Medium,High,1,Low,Postgraduate,Medium,Neutral
69,94,19,51,Low,Medium,3,Medium,Postgraduate,Medium,Positive
66,74,26,89,Low,Low,3,High,High School,Low,Negative
70,86,24,59,High,High,1,Low,High School,Medium,Positive
71,88,28,79,High,Medium,0,Medium,High School,Medium,Positive
65,83,14,90,Medium,Medium,0,Low,College,Medium,Negative
70,74,24,78,High,Medium,3,Low,College,Medium,Positive
65,83,26,70,Low,Low,2,Medium,High School,High,Negative
62,74,9,66,Medium,High,1,High,High School,Low,Neutral
62,63,13,65,High,Medium,2,High,High School,Medium,Neutral
70,100,8,92,High,Medium,1,Medium,Postgraduate,Medium,Neutral
66,65,18,91,Medium,High,5,Low,College,Medium,Neutral
67,63,24,91,High,Low,4,Low,High School,Low,Positive
72,95,29,64,Medium,Low,1,Medium,High School,Medium,Positive
66,72,20,90,High,Low,0,Low,Postgraduate,Low,Negative
68,86,30,52,Medium,Low,2,Medium,College,Medium,Negative
62,73,12,60,High,Medium,1,Low,High School,Medium,Negative
64,76,10,76,Low,Medium,2,High,Postgraduate,Medium,Positive
65,70,20,70,Medium,Medium,0,Low,Postgraduate,Medium,Neutral
66,74,22,56,Medium,Low,4,Medium,Postgraduate,Low,Negative
64,76,20,52,Medium,Low,2,Low,High School,Medium,Neutral
67,89,8,81,Medium,High,4,Low,College,Low,Neutral
69,80,19,66,High,Medium,4,Medium,College,Low,Negative
68,98,12,51,High,Medium,0,Medium,Postgraduate,Medium,Positive
64,62,24,72,Medium,Medium,2,Low,High School,High,Neutral
68,80,22,65,High,Medium,2,High,High School,Medium,Neutral
64,83,14,79,Low,Low,1,Medium,High School,Medium,Positive
71,97,17,96,Medium,High,0,High,Postgraduate,High,Negative
61,62,14,65,High,High,3,Low,High School,Low,Negative
68,83,20,100,Low,Medium,4,Low,College,Medium,Negative
64,70,14,54,High,Medium,3,Medium,College,Medium,Positive
72,95,23,86,Medium,Medium,3,Low,Postgraduate,Medium,Positive
65,61,17,87,Medium,Medium,5,Medium,High School,High,Neutral
68,89,15,71,Medium,Medium,1,Medium,High School,Medium,Positive
71,97,19,64,High,Low,2,Low,High School,Medium,Positive
66,78,17,98,Medium,Medium,2,Medium,High School,Low,Positive
63,62,13,99,Low,High,4,Medium,Postgraduate,Medium,Positive
